date,demand,rrp,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,year,month,day,weekday,month_sin,month_cos,fr_RRP,rrp_rolling_7,demand_rolling_7,day_of_year,is_weekend,is_summer,min_temperature_rolling_7,max_temperature_rolling_7,solar_exposure_rolling_7,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,demand_lag1,demand_lag7,demand_lag30,rrp_lag1,rrp_lag7,rrp_lag30
2019-07-20,0.3590332122302653,0.2949540410179191,103392.82,2833.741008,7896.085,0.0,0.083333336,-0.8171408135908446,-0.5019170857363402,-0.5354289265645505,0.0,0.6572499977993861,-0.19661427192013722,2019,7,20,5,-0.5,-0.866025404,28.33741008,0.6658966360769348,0.99761144824909,0.2244234602492765,1.5725104500912732,1.649087621015046,-0.8104119514578637,-1.1934566287700605,-1.1749514891811885,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,3.158875531523189,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.9664978840662015,0.3494747402600945,148609.595,0.9711729128692701,0.40597647110809,2.147035508106102
2019-07-21,0.3590913959803046,0.33780716577082537,111293.15,3245.448054,0.0,0.0,0.0,-0.016048942306034934,-0.5903327766502123,-0.8160422061206051,0.0,0.6572499977993861,-0.19661427192013722,2019,7,21,6,-0.5,-0.866025404,32.45448054,0.5646345290272916,0.808296294296533,0.23428239159684494,1.5725104500912732,1.649087621015046,-0.6360359777586249,-1.0820612335826048,-1.0783699782767617,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,3.158875531523189,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,-0.6113473244660833,0.33325565229536136,144504.33,-0.4590363554791362,0.39415660644112205,1.618623073922011
2019-07-22,0.52802671490778,0.36267666673652016,114666.04,3484.37926,8952.38,0.0,0.083333336,-0.8414163248418993,-0.767164158477957,-0.4971634793523614,0.0,0.6572499977993861,-0.19661427192013722,2019,7,22,0,-0.5,-0.866025404,34.8437926,0.43501767245884815,0.6847827961152417,0.24414132294441335,-0.6359258216325094,1.649087621015046,-0.677554066734634,-1.0406858010844073,-1.010987528808557,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,3.158875531523189,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,-0.6110255079383383,0.9393685275747854,132829.29,-0.23651268661403155,0.7001050084622543,1.2638296142721779
2019-07-23,0.6019070563593569,0.39232324331249047,129008.62,3769.205735,0.0,0.0,0.0,-0.3559060998208027,-0.8378967112090548,-0.8032870570498754,1.6,0.6572499977993861,-0.19661427192013722,2019,7,23,1,-0.5,-0.866025404,37.69205735,0.22556966256176608,0.6249613115568927,0.25400025429198175,-0.6359258216325094,1.649087621015046,-0.677554066734634,-0.9993103685862094,-0.9705580591276339,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,3.158875531523189,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.3233621469317526,1.0304923034805482,133525.32,-0.10737268504727637,1.3516996387665232,1.7289067715469182
2019-07-24,0.6947533128929502,0.4899846043015527,135782.545,4707.477347,0.0,0.0,0.0,-1.059895926101393,-0.9793618166712502,-0.8543076533327943,8.0,0.6572499977993861,-0.19661427192013722,2019,7,24,2,-0.5,-0.866025404,47.07477347,0.20548622997195964,0.6316949644181105,0.2638591856395502,-0.6359258216325094,1.649087621015046,-0.7896529069698591,-0.977031289548718,-0.8762226298721473,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,3.158875531523189,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.7319971169795292,1.2122026162364126,146856.8,0.04657326468251031,0.6789758377954247,1.4356767844951617
2019-07-25,0.6558008342137993,0.472126928137039,132940.63,4535.911536,0.0,0.0,0.0,-0.5258346785781868,-0.9086292639401524,-1.1859415291717679,0.0,0.6572499977993861,-0.19661427192013722,2019,7,25,3,-0.5,-0.866025404,45.35911536,0.19685903310593833,0.6137703447705354,0.27371811698711856,-0.6359258216325094,1.649087621015046,-0.7813492891746573,-0.9611176616647958,-0.9368668343935317,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,3.158875531523189,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.245533282517152,1.1197065696256974,145807.25,0.5536999789875551,0.5147817960568767,1.625648248581343
2019-07-26,0.7044928888697912,0.5347787029842226,124212.345,5137.832103,12280.785,0.0,0.125,-0.08887547605919961,-1.0500943694023481,-1.0966554856766595,0.0,0.6572499977993861,-0.19661427192013722,2019,7,26,4,-0.5,-0.866025404,51.37832103,0.167175856984882,0.6805596333805658,0.283577048334687,-0.6359258216325094,1.649087621015046,-0.6360359777586249,-1.0152239964701315,-1.0199718554043176,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,3.158875531523189,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.0300856458982266,0.9668487978043622,139351.56,0.4609703206383579,0.9715691627633657,1.1064761556066398
2019-07-27,0.505277759559662,0.5299642810516924,121958.69,5091.578033,0.0,0.0,0.0,-0.38018161107185744,-0.8202135730262802,-0.7395113116962266,6.8,0.6572499977993861,-0.19661427192013722,2019,7,27,5,-0.5,-0.866025404,50.91578033,0.3631160755972389,0.8428423784114955,0.29343597968225543,1.5725104500912732,1.649087621015046,-0.5613034176018085,-1.0725130568522518,-1.0559091617873602,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,3.158875531523189,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.2994032465614167,-0.6102361513934045,131023.66,0.7863025544087852,-0.4596301441832594,0.27683059334680915
2019-07-28,0.4566808959858899,0.4813130574623759,118413.135,4624.166341,0.0,0.0,0.0,-1.1569979711056124,-0.8555798493918293,-0.5481840756352804,0.0,0.6572499977993861,-0.19661427192013722,2019,7,28,6,-0.5,-0.866025404,46.24166341,0.4827643759698646,0.9511342240652783,0.3032949110298238,1.5725104500912732,1.649087621015046,-0.7564384357890513,-1.1202539405040182,-1.0087414471596168,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,3.158875531523189,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.19753681228046044,-0.6099144899277771,123546.62,0.7613026777820846,-0.23695243700637117,-0.1842894710328306
2019-07-29,0.6594268674465207,0.538375603855938,133205.18,5172.388963,0.0,0.0,0.0,-0.5986612123313511,-0.9439955403057014,-0.5864495228474695,0.0,0.6572499977993861,-0.19661427192013722,2019,7,29,0,-0.5,-0.866025404,51.72388963,0.6292536870066526,1.0969446343737057,0.31315384237739224,-0.6359258216325094,1.649087621015046,-0.7149203468130422,-1.1520811962718627,-1.0244640187021978,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,3.158875531523189,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,-0.07125428289740839,0.3240229452801872,117924.13,0.5086711875396606,-0.1077230404196321,-0.44319741350125297
