date,demand,RRP,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
2015-03-26,121998.2,21.9713629,121998.2,21.9713629,0.0,0.0,0.0,9.8,18.0,9.9,0.4,1,0
2015-03-27,122346.33,25.77160038,122346.335,25.77160038,0.0,0.0,0.0,11.6,18.1,11.2,0.2,0,0
2015-03-28,112187.71,29.27136869,112187.715,29.27136869,0.0,0.0,0.0,12.7,19.1,14.4,0.0,0,0
2015-03-29,106418.67,24.67271635,106418.665,24.67271635,0.0,0.0,0.0,8.5,22.7,18.6,0.0,0,0
2015-03-30,123061.87,33.7503627,123061.87,33.7503627,0.0,0.0,0.0,10.6,23.1,18.1,0.0,0,0
2015-03-31,125795.32,31.83656958,125795.325,31.83656958,0.0,0.0,0.0,11.2,25.3,18.1,0.0,0,0
2015-04-01,122042.27,26.16780586,122042.265,26.16780586,0.0,0.0,0.0,13.3,29.0,10.7,0.0,0,0
2015-04-02,113838.41,23.46025058,113838.41,23.46025058,0.0,0.0,0.0,12.8,17.2,17.5,0.2,0,0
2015-04-03,98891.06,20.9393785,98891.06,20.9393785,0.0,0.0,0.0,8.0,20.9,17.4,0.0,0,1
2015-04-04,103999.17,23.18805617,103999.17,23.18805617,0.0,0.0,0.0,8.5,23.5,16.2,0.0,0,1
2015-04-05,103685.45,20.50865038,103685.45,20.50865038,0.0,0.0,0.0,10.2,18.5,9.8,0.0,0,0
2015-04-06,107383.37,17.04855264,107383.37,17.04855264,0.0,0.0,0.0,11.2,18.4,13.0,0.0,0,1
2015-04-07,120235.51,21.35945999,118471.68,21.69413772,1763.825,-1.12,0.020833334,12.4,17.3,3.9,0.0,0,0
2015-04-08,122129.77,25.20801652,122129.775,25.20801652,0.0,0.0,0.0,13.3,17.7,12.6,5.6,0,0
2015-04-09,123990.76,25.20780037,123990.76,25.20780037,0.0,0.0,0.0,8.7,19.1,10.9,0.0,0,0
2015-04-10,121753.12,25.6771108,121753.115,25.6771108,0.0,0.0,0.0,8.6,18.7,15.9,0.0,0,0
2015-04-11,110034.17,23.05591231,110034.165,23.05591231,0.0,0.0,0.0,11.6,23.7,14.9,0.0,0,0
2015-04-12,103760.23,22.05303719,103760.225,22.05303719,0.0,0.0,0.0,12.1,18.3,13.4,0.0,0,0
2015-04-13,125107.78,29.40828908,125107.78,29.40828908,0.0,0.0,0.0,7.3,19.1,14.9,0.0,0,0
2015-04-14,127793.38,30.99517563,127793.38,30.99517563,0.0,0.0,0.0,10.5,24.7,8.4,1.6,1,0
2015-04-15,126673.93,31.09055848,126673.935,31.09055848,0.0,0.0,0.0,13.9,27.6,12.8,2.4,1,0
2015-04-16,126937.94,40.68150885,126937.94,40.68150885,0.0,0.0,0.0,15.6,17.8,10.9,0.0,1,0
2015-04-17,131031.42,33.98750482,131031.415,33.98750482,0.0,0.0,0.0,10.1,17.1,7.5,0.0,1,0
2015-04-18,109763.98,26.14012894,109763.985,26.14012894,0.0,0.0,0.0,13.5,21.9,9.9,3.6,1,0
2015-04-19,107160.54,24.54069444,107160.54,24.54069444,0.0,0.0,0.0,9.7,14.7,11.0,6.4,1,0
2015-04-20,126696.19,33.67717583,126696.19,33.67717583,0.0,0.0,0.0,7.0,16.2,12.7,1.4,1,0
2015-04-21,127973.59,30.4731569,127973.585,30.4731569,0.0,0.0,0.0,6.5,17.7,13.8,0.0,1,0
2015-04-22,128598.5,36.69528357,128598.495,36.69528357,0.0,0.0,0.0,9.1,19.5,7.1,0.0,1,0
2015-04-23,126483.81,35.42248474,126483.805,35.42248474,0.0,0.0,0.0,12.2,19.2,7.5,0.0,1,0
2015-04-24,126230.79,36.4979363,126230.785,36.4979363,0.0,0.0,0.0,14.4,21.1,7.8,0.0,1,0
